Wavelength [nm],Transmission [dB]
1279.600,-70.227
1281.000,-70.305
1282.400,-70.068
1283.800,-69.843
1285.200,-69.614
1286.600,-69.396
1288.000,-69.923
1289.400,-70.296
1290.800,-70.704
1292.200,-71.361
1293.600,-72.134
1295.000,-71.827
1296.400,-70.609
1297.800,-69.659
1299.200,-69.882
1300.600,-70.118
1302.000,-69.669
1303.400,-69.389
1304.800,-69.126
1306.200,-68.617
1307.600,-68.162
1309.000,-68.554
1310.400,-68.282
1311.800,-68.026
1313.200,-68.386
1314.600,-68.778
1316.000,-69.823
1317.400,-70.771
1318.800,-71.986
1320.200,-72.506
1321.600,-73.098
1323.000,-71.439
1324.400,-71.601
1325.800,-71.770
1327.200,-71.578
1328.600,-71.394
1330.000,-72.345
1331.400,-71.261
1332.800,-70.395
1334.200,-71.088
1335.600,-71.913
1337.000,-72.082
1338.400,-72.047
1339.800,-72.012
1341.200,-72.538
1342.600,-73.136
1344.000,-72.615
1345.400,-74.641
1346.800,-78.559
1348.200,-76.765
1349.600,-75.499
1351.000,-73.516
1352.400,-72.453
1353.800,-71.600
1355.200,-72.081
1356.600,-72.623
1358.000,-73.051
1359.400,-72.600
1360.800,-72.192
1362.200,-72.431
1363.600,-72.683
1365.000,-72.593
1366.400,-73.338
1367.800,-74.238
1369.200,-74.186
1370.600,-74.134
1372.000,-77.445
1373.400,-77.893
1374.800,-78.394
1376.200,-77.965
1377.600,-77.576
1379.000,-76.693
1380.400,-76.393
1381.800,-76.112
1383.200,-77.045
1384.600,-78.233
1386.000,-75.085
1387.400,-76.588
1388.800,-78.906
1390.200,-77.085
1391.600,-75.805
1393.000,-78.702
1394.400,-78.522
1395.800,-78.349
1397.200,-81.003
1398.600,-89.038
1400.000,-78.036
1401.400,-76.219
1402.800,-74.942
1404.200,-75.410
1405.600,-75.934
1407.000,-77.574
1408.400,-77.629
1409.800,-77.684
1411.200,-77.037
1412.600,-76.475
1414.000,-77.453
1415.400,-76.429
1416.800,-75.602
1418.200,-75.397
1419.600,-75.202
1421.000,-73.258
1422.400,-74.028
1423.800,-74.966
1425.200,-74.059
1426.600,-73.309
1428.000,-74.461
1429.400,-72.605
1430.800,-71.309
1432.200,-71.222
1433.600,-71.137
1435.000,-71.147
1436.400,-72.724
1437.800,-75.226
1439.200,-76.504
1440.600,-78.322
1442.000,-75.378
1443.400,-74.728
1444.800,-74.162
1446.200,-73.374
1447.600,-72.707
1449.000,-72.873
1450.400,-73.631
1451.800,-74.551
1453.200,-74.376
1454.600,-74.207
1456.000,-75.603
1457.400,-75.218
1458.800,-74.864
1460.200,-74.297
1461.600,-73.796
1463.000,-72.772
1464.400,-72.515
1465.800,-72.272
1467.200,-72.176
1468.600,-72.081
1470.000,-73.796
1471.400,-74.384
1472.800,-75.065
1474.200,-76.152
1475.600,-77.607
1477.000,-77.637
