Wavelength [nm],Transmission [dB]
1082.200,-56.145
1083.600,-57.000
1085.000,-58.066
1086.400,-58.596
1087.800,-59.199
1089.200,-59.086
1090.600,-59.085
1092.000,-59.083
1093.400,-58.728
1094.800,-58.399
1096.200,-58.326
1097.600,-59.057
1099.000,-59.936
1100.400,-59.928
1101.800,-59.920
1103.200,-60.102
1104.600,-60.638
1106.000,-61.250
1107.400,-60.822
1108.800,-60.432
1110.200,-59.351
1111.600,-59.023
1113.000,-58.719
1114.400,-59.218
1115.800,-59.783
1117.200,-59.830
1118.600,-59.535
1120.000,-59.259
1121.400,-59.800
1122.800,-60.418
1124.200,-61.304
1125.600,-61.913
1127.000,-62.620
1128.400,-62.331
1129.800,-62.060
1131.200,-61.514
1132.600,-61.471
1134.000,-61.427
1135.400,-61.031
1136.800,-60.669
1138.200,-60.899
1139.600,-61.528
1141.000,-62.265
1142.400,-62.050
1143.800,-61.845
1145.200,-61.555
1146.600,-61.768
1148.000,-61.992
1149.400,-62.076
1150.800,-62.162
1152.200,-62.965
1153.600,-62.881
1155.000,-62.799
1156.400,-62.635
1157.800,-62.477
1159.200,-62.722
1160.600,-63.081
1162.000,-63.471
1163.400,-63.630
1164.800,-63.795
1166.200,-63.063
1167.600,-62.800
1169.000,-62.551
1170.400,-62.617
1171.800,-62.684
1173.200,-63.208
1174.600,-63.194
1176.000,-63.180
1177.400,-62.757
1178.800,-62.372
1180.200,-62.956
1181.600,-63.068
1183.000,-63.182
1184.400,-61.994
1185.800,-61.062
1187.200,-60.392
1188.600,-61.196
1190.000,-62.185
1191.400,-62.591
1192.800,-63.039
1194.200,-62.755
1195.600,-62.205
1197.000,-61.716
1198.400,-61.867
1199.800,-62.023
1201.200,-62.060
1202.600,-62.323
1204.000,-62.602
1205.400,-61.973
1206.800,-61.423
1208.200,-60.949
1209.600,-60.886
1211.000,-60.824
1212.400,-60.951
1213.800,-61.083
1215.200,-61.335
1216.600,-61.775
1218.000,-62.265
1219.400,-62.649
1220.800,-63.070
1222.200,-63.383
1223.600,-63.491
1225.000,-63.601
1226.400,-63.662
1227.800,-63.723
1229.200,-63.300
1230.600,-62.560
1232.000,-61.929
1233.400,-61.385
1234.800,-60.903
1236.200,-60.659
1237.600,-61.685
1239.000,-63.029
1240.400,-63.155
1241.800,-63.284
1243.200,-62.866
1244.600,-63.323
1246.000,-63.835
1247.400,-64.152
1248.800,-64.494
1250.200,-65.255
1251.600,-64.046
1253.000,-63.102
1254.400,-63.230
1255.800,-63.361
1257.200,-63.703
1258.600,-63.993
1260.000,-64.302
1261.400,-63.759
1262.800,-63.276
1264.200,-62.775
1265.600,-63.217
1267.000,-63.710
1268.400,-64.268
1269.800,-64.909
1271.200,-64.774
1272.600,-64.632
1274.000,-64.495
1275.400,-64.676
1276.800,-64.865
1278.200,-64.743
1279.600,-65.043
1281.000,-65.364
1282.400,-65.544
1283.800,-65.732
1285.200,-65.467
1286.600,-65.217
1288.000,-65.925
1289.400,-65.367
1290.800,-64.872
1292.200,-63.471
1293.600,-62.413
1295.000,-61.372
1296.400,-61.907
1297.800,-62.518
1299.200,-63.635
1300.600,-65.141
1302.000,-65.599
1303.400,-65.672
1304.800,-65.747
1306.200,-66.352
1307.600,-67.055
1309.000,-66.872
1310.400,-66.781
1311.800,-66.691
1313.200,-66.440
1314.600,-66.203
1316.000,-65.857
1317.400,-65.769
1318.800,-65.683
1320.200,-66.272
1321.600,-66.953
1323.000,-67.369
1324.400,-66.532
1325.800,-65.830
1327.200,-64.902
1328.600,-64.138
1330.000,-63.872
1331.400,-63.306
1332.800,-62.806
1334.200,-63.271
1335.600,-63.792
1337.000,-64.818
1338.400,-65.206
1339.800,-65.631
1341.200,-65.728
1342.600,-65.826
1344.000,-65.993
1345.400,-66.373
1346.800,-66.788
1348.200,-66.962
1349.600,-67.143
1351.000,-67.189
1352.400,-67.561
1353.800,-67.968
1355.200,-66.567
1356.600,-65.509
1358.000,-64.746
1359.400,-64.752
1360.800,-64.758
1362.200,-65.206
1363.600,-65.706
1365.000,-66.024
1366.400,-66.471
1367.800,-66.969
1369.200,-67.176
1370.600,-67.392
1372.000,-67.488
1373.400,-67.256
1374.800,-67.035
1376.200,-67.035
1377.600,-67.034
1379.000,-67.388
1380.400,-67.030
1381.800,-66.699
1383.200,-66.629
1384.600,-66.559
1386.000,-67.356
1387.400,-67.931
1388.800,-68.595
1390.200,-68.760
1391.600,-68.932
1393.000,-67.662
1394.400,-66.561
1395.800,-65.683
1397.200,-64.521
1398.600,-63.605
1400.000,-63.579
1401.400,-64.259
1402.800,-65.065
1404.200,-65.784
1405.600,-66.645
1407.000,-67.198
1408.400,-67.172
1409.800,-67.146
1411.200,-67.669
1412.600,-68.263
1414.000,-68.774
1415.400,-69.397
1416.800,-70.125
1418.200,-70.259
1419.600,-70.398
1421.000,-70.386
1422.400,-70.274
1423.800,-70.164
1425.200,-68.939
1426.600,-67.984
1428.000,-67.373
1429.400,-66.779
